,spa_title,eng_title,year
549, Un cuento chino , Chinese Take -Away,2011
550, Un dios salvaje , Carnage,2011
551, Un mundo casi perfecto , An Almost Perfect World,2011
552, Un mundo cuadrado , A Squared World,2011
553, Una canción , A song,2011
554," ¡Urteberrion, amona!",,2011
555, Valeria descalza,,2011
556, Válgame dios. Qué alegría tiene esta gente. Que fatigas tengo yo. Flamenco,,2011
557,de raíz , Flamenco From The Roots,2011
558, Venid  a las cloacas: la historia de L a Banda Trap era del Río , Come To The,2011
559,Sewers : the Story of La Banda Trapera del Río,,2011
560, Verbo,,2011
561, La vida sublime , The Life Sublime,2011
562, La vida útil , A Useful Life,2011
563, Viene una chica , A Girl Is Coming,2011
564, Voces desde Mozambique , Voices From Mozambique,2011
565, La voz dormida ,  The Sleeping Voice,2011
566, XP 3D , PX 3D - Paranormal Xperience 3D,2011
567,2012 ALPHABETICAL INDEX OF FEATURE FILM,,2012
568,A cicatriz branca , White Scar,2012
569,A Film About Kids And Music. Sant Andreu Jazz Band (Documental ,,2012
570,Documentary),,2012
571,A paixón de María Soliña,,2012
572,A puerta fría , Cold Call,2012
573,Ali,,2012
574,El amor se mueve  , Love In Motion,2012
575,Los amores difíciles , Difficult Loves,2012
576,El ángel entre la niebla , The Angel in the Fog,2012
577,Animal's,,2012
578,Arraianos,,2012
579,Arteros , Artfuls,2012
580,Astérix y Obélix al servicio de su majestad , Asterix and Obelix: God Save Britannia Di,2012
581,! , Hold-Up!,2012
582,Las aventuras de Tadeo Jones ," Tad, The Lost Explorer  (Animación ",2012
583,Animation),,2012
584,Baztán , The Valley,2012
585,Buscando a Eimish , Looking for Eimish,2012
586,El camino del olvido,,2012
587,Carmina o revienta , Carmina or blow up,2012
588,Las carpetas , The Files,2012
589,Casi inocentes , Almost Innocent,2012
590,El cazador de dragones - Dragoi ehiztaria , Dragon Hunter,2012
591,Chaika,,2012
592,ia , Comedy,2012
593,Contra el tiempo,,2012
594,Cronica d'una campanya,,2012
595,Cruz del sur , Southern Stars,2012
596,Cubillo. Historia de un crimen de estado,,2012
597,El día que murió Gracia Imperio , The day Gracia Imperio died  (Documental ,2012
598,Documentary),,2012
599,Diamond Flash,,2012
600,Diamond inside,,2012
601,Los días no vividos,,2012
602,Dictado , Childish Games,2012
603,Dios sabe , God Only Knows,2012
604,Diseño detrás de las rejas ,Design Behind Bars,2012
605,¿Dónde está la felicida,,2012
606,d? , All about Happiness,2012
607,Donde viven las mujeres,,2012
608,"Twiggy Hirota, Andrés Linares, Daniel Quiñones",,2012
609,Drácula,,2012
610,Edificio España , The Building,2012
611,El efecto K. El montador de Stalin,,2012
612,En la próxima estación , At the next station,2012
613,Encierro Bull Running in Pamplona,,2012
614,Enxaneta,,2012
615,Fènix 11*23,,2012
616,El foso , The Pit,2012
617,Gazta zati bat - A piece of cheese,,2012
618,Girimunho,,2012
619,Grand piano,,2012
620,Guitarra de palo,,2012
621,y (Documental ,,2012
622,Documentary),,2012
623,L'illa de Toth , The Island of Toth,2012
624,Los increíbles , The Incredibles,2012
625,Infancia clandestina , Clandestine Childhood,2012
626,Invasor , Invader,2012
627,"Jordi Dauder, la revolució pendent",,2012
628,Juan Marsé habla de Juan Marsé,,2012
629,Kanimambo,,2012
630,La lapidació de Sant La Lapidation De Saint Étienne , La lapidation de Saint  Etienne,2012
631,Leonora Carrington y el juego surrealista , Leonora Carrington. The surrealist,2012
632,game,,2012
633,Libre te quiero,,2012
634,Luces rojas , Red Lights,2012
635,Mamá , Mama,2012
636,Documentary),,2012
637,Mapa , Map,2012
638,Mariah Mundi And The Midas Box,,2012
639,El monje,,2012
640,Mugaritz,,2012
641,La mujer del eternauta , El Eternauta's Wife,2012
642,El mundo es nuestro , The World Is Ours,2012
643,Los mundos sutiles , Subtle Worlds,2012
644,Mussolini va a morir,,2012
645,Los niños salvajes , nens salvatges ,2012
646,Norteado , Northless,2012
647,Nosotros,,2012
648,O Apóstolo,,2012
649,El ojo del tiburón. Los últimos cazadores de tiburones de Nicaragua , The,2012
650,Shark's Eye,,2012
651,Okumanta,,2012
652,Operación E , Operation E,2012
653,Otra noche en la tierra , Another Night On Earth,2012
654,Documentary),,2012
655,El páramo , The Squad,2012
656,Perseverança , Perseverance,2012
657,Psychophony,,2012
658,Pura vida , The Ridge,2012
659,Quiero tener una ferretería en Andalucía , Hey Joe. Strummer In Andalusia,2012
660,La rosa de nadie , Nobod,2012
661,y's Rose,,2012
662,El sabor salado de las lágrimas , Salty Taste of Tears,2012
663,Documentary),,2012
